timestamp,热水回水温度,热水出水温度,冷冻水回水温度,冷冻水出水温度
2018-01-01T00:03:19Z,24.38,89.42,21.96,17.53
2018-01-01T00:08:19Z,24.36,89.73,21.95,17.53
2018-01-01T00:13:19Z,24.34,89.4,21.96,17.52
2018-01-01T00:18:19Z,24.31,89.74,21.95,17.52
2018-01-01T00:23:19Z,24.29,90.04,21.95,17.53
2018-01-01T00:28:19Z,24.26,88.16,21.95,17.52
2018-01-01T00:33:19Z,24.23,87.54,21.95,17.51
2018-01-01T00:38:19Z,24.21,88.86,21.95,17.52
2018-01-01T00:43:19Z,24.18,89.47,21.95,17.52
2018-01-01T00:48:19Z,24.16,89.75,21.96,17.52
2018-01-01T00:53:19Z,24.13,87.21,21.95,17.51
2018-01-01T00:58:19Z,24.1,88.62,21.94,17.51
2018-01-01T01:03:19Z,24.08,89.5,21.95,17.51
2018-01-01T01:08:19Z,24.05,90.21,21.95,17.52
2018-01-01T01:13:19Z,24.03,87.49,21.94,17.51
2018-01-01T01:18:19Z,24.01,89.07,21.93,17.5
2018-01-01T01:23:19Z,23.99,90.56,21.94,17.51
2018-01-01T01:28:19Z,23.97,87.66,21.94,17.51
2018-01-01T01:33:19Z,23.95,89.53,21.94,17.5
2018-01-01T01:38:19Z,23.92,88.28,21.93,17.5
2018-01-01T01:43:19Z,23.89,88.85,21.93,17.5
2018-01-01T01:48:19Z,23.87,90.24,21.93,17.5
2018-01-01T01:53:19Z,23.84,88.56,21.93,17.5
2018-01-01T01:58:19Z,23.82,90.49,21.92,17.5
2018-01-01T02:03:19Z,23.79,88.12,21.93,17.5
2018-01-01T02:08:19Z,23.77,90.13,21.92,17.5
2018-01-01T02:13:19Z,23.74,88.26,21.92,17.49
2018-01-01T02:18:19Z,23.72,90.26,21.92,17.49
2018-01-01T02:23:19Z,23.7,88.19,21.92,17.49
2018-01-01T02:28:19Z,23.68,89.4,21.92,17.49
2018-01-01T02:33:19Z,23.66,90.78,21.91,17.49
2018-01-01T02:38:19Z,23.63,87.96,21.91,17.49
2018-01-01T02:43:19Z,23.61,88.74,21.91,17.49
2018-01-01T02:48:19Z,23.59,89.71,21.91,17.49
2018-01-01T02:53:19Z,23.57,90.34,21.9,17.48
2018-01-01T02:58:19Z,23.55,87.82,21.91,17.49
2018-01-01T03:03:19Z,23.52,88.73,21.91,17.48
2018-01-01T03:08:19Z,23.5,89.94,21.91,17.49
2018-01-01T03:13:19Z,23.48,89.42,21.9,17.48
2018-01-01T03:18:19Z,23.45,87.42,21.9,17.48
2018-01-01T03:23:19Z,23.43,87.39,21.9,17.48
2018-01-01T03:28:19Z,23.4,89.8,21.9,17.48
2018-01-01T03:33:19Z,23.38,88.95,21.89,17.47
2018-01-01T03:38:19Z,23.36,89.21,21.89,17.48
2018-01-01T03:43:19Z,23.34,89.29,21.89,17.47
2018-01-01T03:48:19Z,23.32,88.96,21.89,17.47
2018-01-01T03:53:19Z,23.3,89.4,21.89,17.47
2018-01-01T03:58:19Z,23.28,89.53,21.89,17.47
2018-01-01T04:03:19Z,23.26,89.53,21.89,17.47
2018-01-01T04:08:19Z,23.24,89.2,21.89,17.47
2018-01-01T04:13:19Z,23.21,89.07,21.88,17.46
2018-01-01T04:18:19Z,23.19,88.94,21.88,17.46
2018-01-01T04:23:19Z,23.17,89.23,21.89,17.46
2018-01-01T04:28:19Z,23.15,89.23,21.88,17.46
2018-01-01T04:33:19Z,23.13,89.23,21.88,17.46
2018-01-01T04:38:19Z,23.11,89.49,21.87,17.46
2018-01-01T04:43:19Z,23.08,87.07,21.88,17.46
2018-01-01T04:48:19Z,23.07,89.35,21.87,17.46
2018-01-01T04:53:19Z,23.04,89.45,21.86,17.45
2018-01-01T04:58:19Z,23.02,88.02,21.87,17.45
2018-01-01T05:03:19Z,23.0,89.18,21.87,17.45
2018-01-01T05:08:19Z,22.98,87.34,21.86,17.45
2018-01-01T05:13:19Z,22.95,83.05,21.86,17.45
2018-01-01T05:18:19Z,22.93,84.83,21.86,17.44
2018-01-01T05:23:19Z,22.91,89.12,21.86,17.44
2018-01-01T05:28:19Z,22.88,87.85,21.86,17.44
2018-01-01T05:33:19Z,22.86,89.47,21.85,17.43
2018-01-01T05:38:19Z,22.83,89.04,21.85,17.43
2018-01-01T05:43:19Z,22.81,89.36,21.85,17.43
2018-01-01T05:48:19Z,22.79,88.93,21.84,17.43
2018-01-01T05:53:19Z,22.77,88.18,21.84,17.43
2018-01-01T05:58:19Z,22.75,89.5,21.84,17.42
2018-01-01T06:03:19Z,22.72,89.51,21.83,17.42
2018-01-01T06:08:19Z,22.7,89.07,21.83,17.42
2018-01-01T06:13:19Z,22.68,87.73,21.83,17.42
2018-01-01T06:18:19Z,22.65,87.68,21.83,17.42
2018-01-01T06:23:19Z,22.64,87.75,21.83,17.42
2018-01-01T06:28:19Z,22.61,87.88,21.82,17.42
2018-01-01T06:33:19Z,22.58,89.68,21.82,17.41
2018-01-01T06:38:19Z,22.56,89.22,21.81,17.4
2018-01-01T06:43:19Z,22.53,89.61,21.81,17.4
2018-01-01T06:48:19Z,22.51,88.93,21.81,17.4
2018-01-01T06:53:19Z,22.5,87.65,21.81,17.4
2018-01-01T06:58:19Z,22.47,87.88,21.8,17.4
2018-01-01T07:03:19Z,22.45,87.57,21.8,17.4
2018-01-01T07:08:19Z,22.43,87.8,21.79,17.4
2018-01-01T07:13:19Z,22.4,86.37,21.79,17.4
2018-01-01T07:18:19Z,22.38,85.63,21.79,17.39
2018-01-01T07:23:19Z,22.36,86.03,21.79,17.39
2018-01-01T07:28:19Z,22.35,88.69,21.78,17.39
2018-01-01T07:33:19Z,22.34,89.51,21.79,17.39
2018-01-01T07:38:19Z,22.33,88.41,21.78,17.39
2018-01-01T07:43:19Z,22.31,87.7,21.78,17.38
2018-01-01T07:48:19Z,22.29,86.1,21.78,17.39
