timestamp,热总能量计累计热量,总冷累计能量（kWh）
2018-01-01T00:03:19Z,15063.14,2726.25
2018-01-01T00:05:00Z,15063.215,2726.25
2018-01-01T00:08:19Z,15063.29,2726.25
2018-01-01T00:10:00Z,15063.37,2726.25
2018-01-01T00:13:19Z,15063.45,2726.25
2018-01-01T00:15:00Z,15063.515,2726.25
2018-01-01T00:18:19Z,15063.58,2726.25
2018-01-01T00:20:00Z,15063.665,2726.25
2018-01-01T00:23:19Z,15063.75,2726.25
2018-01-01T00:25:00Z,15063.814999999999,2726.25
2018-01-01T00:28:19Z,15063.88,2726.25
2018-01-01T00:30:00Z,15063.955,2726.25
2018-01-01T00:33:19Z,15064.03,2726.25
2018-01-01T00:35:00Z,15064.105,2726.25
2018-01-01T00:38:19Z,15064.18,2726.25
2018-01-01T00:40:00Z,15064.244999999999,2726.25
2018-01-01T00:43:19Z,15064.31,2726.25
2018-01-01T00:45:00Z,15064.39,2726.25
2018-01-01T00:48:19Z,15064.47,2726.25
2018-01-01T00:50:00Z,15064.54,2726.25
2018-01-01T00:53:19Z,15064.61,2726.25
2018-01-01T00:55:00Z,15064.68,2726.25
2018-01-01T00:58:19Z,15064.75,2726.25
2018-01-01T01:00:00Z,15064.82,2726.25
2018-01-01T01:03:19Z,15064.89,2726.25
2018-01-01T01:05:00Z,15064.95,2726.25
2018-01-01T01:08:19Z,15065.01,2726.25
2018-01-01T01:10:00Z,15065.095000000001,2726.25
2018-01-01T01:13:19Z,15065.18,2726.25
2018-01-01T01:15:00Z,15065.255000000001,2726.25
2018-01-01T01:18:19Z,15065.33,2726.25
2018-01-01T01:20:00Z,15065.4,2726.25
2018-01-01T01:23:19Z,15065.47,2726.25
2018-01-01T01:25:00Z,15065.535,2726.25
2018-01-01T01:28:19Z,15065.6,2726.25
2018-01-01T01:30:00Z,15065.665,2726.25
2018-01-01T01:33:19Z,15065.73,2726.25
2018-01-01T01:35:00Z,15065.805,2726.25
2018-01-01T01:38:19Z,15065.88,2726.25
2018-01-01T01:40:00Z,15065.95,2726.25
2018-01-01T01:43:19Z,15066.02,2726.25
2018-01-01T01:45:00Z,15066.095000000001,2726.25
2018-01-01T01:48:19Z,15066.17,2726.25
2018-01-01T01:50:00Z,15066.235,2726.25
2018-01-01T01:53:19Z,15066.3,2726.25
2018-01-01T01:55:00Z,15066.369999999999,2726.25
2018-01-01T01:58:19Z,15066.44,2726.25
2018-01-01T02:00:00Z,15066.515,2726.25
2018-01-01T02:03:19Z,15066.59,2726.25
2018-01-01T02:05:00Z,15066.65,2726.25
2018-01-01T02:08:19Z,15066.71,2726.25
2018-01-01T02:10:00Z,15066.785,2726.25
2018-01-01T02:13:19Z,15066.86,2726.25
2018-01-01T02:15:00Z,15066.93,2726.25
2018-01-01T02:18:19Z,15067.0,2726.25
2018-01-01T02:20:00Z,15067.064999999999,2726.25
2018-01-01T02:23:19Z,15067.13,2726.25
2018-01-01T02:25:00Z,15067.205,2726.25
2018-01-01T02:28:19Z,15067.28,2726.25
2018-01-01T02:30:00Z,15067.345000000001,2726.25
2018-01-01T02:33:19Z,15067.41,2726.25
2018-01-01T02:35:00Z,15067.49,2726.25
2018-01-01T02:38:19Z,15067.57,2726.25
2018-01-01T02:40:00Z,15067.635,2726.25
2018-01-01T02:43:19Z,15067.7,2726.25
2018-01-01T02:45:00Z,15067.77,2726.25
2018-01-01T02:48:19Z,15067.84,2726.25
2018-01-01T02:50:00Z,15067.92,2726.25
2018-01-01T02:53:19Z,15068.0,2726.25
2018-01-01T02:55:00Z,15068.064999999999,2726.25
2018-01-01T02:58:19Z,15068.13,2726.25
2018-01-01T03:00:00Z,15068.205,2726.25
2018-01-01T03:03:19Z,15068.28,2726.25
2018-01-01T03:05:00Z,15068.35,2726.25
2018-01-01T03:08:19Z,15068.42,2726.25
2018-01-01T03:10:00Z,15068.49,2726.25
2018-01-01T03:13:19Z,15068.56,2726.25
2018-01-01T03:15:00Z,15068.64,2726.25
2018-01-01T03:18:19Z,15068.72,2726.25
2018-01-01T03:20:00Z,15068.795,2726.25
2018-01-01T03:23:19Z,15068.87,2726.25
2018-01-01T03:25:00Z,15068.945,2726.25
2018-01-01T03:28:19Z,15069.02,2726.25
2018-01-01T03:30:00Z,15069.1,2726.25
2018-01-01T03:33:19Z,15069.18,2726.25
2018-01-01T03:35:00Z,15069.26,2726.25
2018-01-01T03:38:19Z,15069.34,2726.25
2018-01-01T03:40:00Z,15069.425,2726.25
2018-01-01T03:43:19Z,15069.51,2726.25
2018-01-01T03:45:00Z,15069.59,2726.25
2018-01-01T03:48:19Z,15069.67,2726.25
2018-01-01T03:50:00Z,15069.744999999999,2726.25
2018-01-01T03:53:19Z,15069.82,2726.25
2018-01-01T03:55:00Z,15069.904999999999,2726.25
2018-01-01T03:58:19Z,15069.99,2726.25
2018-01-01T04:00:00Z,15070.064999999999,2726.25
2018-01-01T04:03:19Z,15070.14,2726.25
2018-01-01T04:05:00Z,15070.22,2726.25
2018-01-01T04:08:19Z,15070.3,2726.25
2018-01-01T04:10:00Z,15070.4,2726.25
2018-01-01T04:13:19Z,15070.5,2726.25
2018-01-01T04:15:00Z,15070.58,2726.25
2018-01-01T04:18:19Z,15070.66,2726.25
2018-01-01T04:20:00Z,15070.744999999999,2726.25
2018-01-01T04:23:19Z,15070.83,2726.25
2018-01-01T04:25:00Z,15070.9,2726.25
2018-01-01T04:28:19Z,15070.97,2726.25
2018-01-01T04:30:00Z,15071.05,2726.25
2018-01-01T04:33:19Z,15071.13,2726.25
2018-01-01T04:35:00Z,15071.22,2726.25
2018-01-01T04:38:19Z,15071.31,2726.25
2018-01-01T04:40:00Z,15071.384999999998,2726.25
2018-01-01T04:43:19Z,15071.46,2726.25
2018-01-01T04:45:00Z,15071.535,2726.25
2018-01-01T04:48:19Z,15071.61,2726.25
2018-01-01T04:50:00Z,15071.695,2726.25
2018-01-01T04:53:19Z,15071.78,2726.25
2018-01-01T04:55:00Z,15071.86,2726.25
2018-01-01T04:58:19Z,15071.94,2726.25
2018-01-01T05:00:00Z,15072.02,2726.25
2018-01-01T05:03:19Z,15072.1,2726.25
2018-01-01T05:05:00Z,15072.175,2726.25
2018-01-01T05:08:19Z,15072.25,2726.25
2018-01-01T05:10:00Z,15072.32,2726.25
2018-01-01T05:13:19Z,15072.39,2726.25
2018-01-01T05:15:00Z,15072.455,2726.25
2018-01-01T05:18:19Z,15072.52,2726.25
2018-01-01T05:20:00Z,15072.6,2726.25
2018-01-01T05:23:19Z,15072.68,2726.25
2018-01-01T05:25:00Z,15072.755000000001,2726.25
2018-01-01T05:28:19Z,15072.83,2726.25
2018-01-01T05:30:00Z,15072.904999999999,2726.25
2018-01-01T05:33:19Z,15072.98,2726.25
2018-01-01T05:35:00Z,15073.055,2726.25
2018-01-01T05:38:19Z,15073.13,2726.25
2018-01-01T05:40:00Z,15073.21,2726.25
2018-01-01T05:43:19Z,15073.29,2726.25
2018-01-01T05:45:00Z,15073.36,2726.25
2018-01-01T05:48:19Z,15073.43,2726.25
2018-01-01T05:50:00Z,15073.51,2726.25
2018-01-01T05:53:19Z,15073.59,2726.25
2018-01-01T05:55:00Z,15073.67,2726.25
2018-01-01T05:58:19Z,15073.75,2726.25
2018-01-01T06:00:00Z,15073.814999999999,2726.25
2018-01-01T06:03:19Z,15073.88,2726.25
2018-01-01T06:05:00Z,15073.97,2726.25
2018-01-01T06:08:19Z,15074.06,2726.25
2018-01-01T06:10:00Z,15074.130000000001,2726.25
2018-01-01T06:13:19Z,15074.2,2726.25
2018-01-01T06:15:00Z,15074.28,2726.25
2018-01-01T06:18:19Z,15074.36,2726.25
2018-01-01T06:20:00Z,15074.43,2726.25
2018-01-01T06:23:19Z,15074.5,2726.25
2018-01-01T06:25:00Z,15074.564999999999,2726.25
2018-01-01T06:28:19Z,15074.63,2726.25
2018-01-01T06:30:00Z,15074.72,2726.25
2018-01-01T06:33:19Z,15074.81,2726.25
2018-01-01T06:35:00Z,15074.89,2726.25
2018-01-01T06:38:19Z,15074.97,2726.25
2018-01-01T06:40:00Z,15075.05,2726.25
2018-01-01T06:43:19Z,15075.13,2726.25
2018-01-01T06:45:00Z,15075.215,2726.25
2018-01-01T06:48:19Z,15075.3,2726.25
2018-01-01T06:50:00Z,15075.384999999998,2726.25
2018-01-01T06:53:19Z,15075.47,2726.25
2018-01-01T06:55:00Z,15075.56,2726.25
2018-01-01T06:58:19Z,15075.65,2726.25
2018-01-01T07:00:00Z,15075.735,2726.25
2018-01-01T07:03:19Z,15075.82,2726.25
2018-01-01T07:05:00Z,15075.904999999999,2726.25
2018-01-01T07:08:19Z,15075.99,2726.25
2018-01-01T07:10:00Z,15076.08,2726.25
2018-01-01T07:13:19Z,15076.17,2726.25
2018-01-01T07:15:00Z,15076.275,2726.25
2018-01-01T07:18:19Z,15076.38,2726.25
2018-01-01T07:20:00Z,15076.465,2726.25
2018-01-01T07:23:19Z,15076.55,2726.25
2018-01-01T07:25:00Z,15076.625,2726.25
2018-01-01T07:28:19Z,15076.7,2726.25
2018-01-01T07:30:00Z,15076.77,2726.25
2018-01-01T07:33:19Z,15076.84,2726.25
2018-01-01T07:35:00Z,15076.93,2726.25
2018-01-01T07:38:19Z,15077.02,2726.25
2018-01-01T07:40:00Z,15077.11,2726.25
2018-01-01T07:43:19Z,15077.2,2726.25
2018-01-01T07:45:00Z,15077.29,2726.25
2018-01-01T07:48:19Z,15077.38,2726.25
2018-01-01T07:50:00Z,15077.48,2726.25
2018-01-01T07:53:19Z,15077.58,2726.25
2018-01-01T07:55:00Z,15077.66,2726.25
2018-01-01T07:58:19Z,15077.74,2726.25
2018-01-01T08:00:00Z,15077.83,2726.25
2018-01-01T08:03:19Z,15077.92,2726.25
2018-01-01T08:05:00Z,15078.015,2726.25
2018-01-01T08:08:19Z,15078.11,2726.25
2018-01-01T08:10:00Z,15078.205,2726.25
2018-01-01T08:13:19Z,15078.3,2726.25
2018-01-01T08:15:00Z,15078.384999999998,2726.25
2018-01-01T08:18:19Z,15078.47,2726.25
2018-01-01T08:20:00Z,15078.56,2726.25
2018-01-01T08:23:20Z,15078.65,2726.25
2018-01-01T08:25:00Z,15078.73,2726.25
2018-01-01T08:28:19Z,15078.81,2726.25
2018-01-01T08:30:00Z,15078.904999999999,2726.25
2018-01-01T08:33:19Z,15079.0,2726.25
2018-01-01T08:35:00Z,15079.07,2726.25
2018-01-01T08:38:19Z,15079.14,2726.25
2018-01-01T08:40:00Z,15079.235,2726.25
2018-01-01T08:43:19Z,15079.33,2726.25
2018-01-01T08:45:00Z,15079.41,2726.25
2018-01-01T08:48:19Z,15079.49,2726.25
2018-01-01T08:50:00Z,15079.575,2726.25
2018-01-01T08:53:19Z,15079.66,2726.25
2018-01-01T08:55:00Z,15079.74,2726.25
2018-01-01T08:58:20Z,15079.82,2726.25
2018-01-01T09:00:00Z,15079.91,2726.25
2018-01-01T09:03:19Z,15080.0,2726.25
2018-01-01T09:05:00Z,15080.09,2726.25
2018-01-01T09:08:19Z,15080.18,2726.25
2018-01-01T09:10:00Z,15080.265,2726.25
2018-01-01T09:13:19Z,15080.35,2726.25
2018-01-01T09:15:00Z,15080.43,2726.25
2018-01-01T09:18:19Z,15080.51,2726.25
2018-01-01T09:20:00Z,15080.6,2726.25
