timestamp,热水回水温度,热水出水温度,冷冻水回水温度,冷冻水出水温度
2018-01-01T00:03:19Z,19.72,87.09,15.7,87.09
2018-01-01T00:08:19Z,19.7,87.03,15.7,87.03
2018-01-01T00:13:19Z,19.68,87.03,15.7,87.03
2018-01-01T00:18:19Z,19.67,87.07,15.7,87.07
2018-01-01T00:23:19Z,19.65,87.04,15.69,87.05
2018-01-01T00:28:19Z,19.64,87.11,15.69,87.11
2018-01-01T00:33:19Z,19.63,87.13,15.69,87.13
2018-01-01T00:38:19Z,19.61,87.23,15.68,87.23
2018-01-01T00:43:19Z,19.59,87.26,15.68,87.26
2018-01-01T00:48:19Z,19.58,87.24,15.68,87.24
2018-01-01T00:53:19Z,19.56,87.23,15.68,87.23
2018-01-01T00:58:19Z,19.55,87.37,15.67,87.37
2018-01-01T01:03:19Z,19.53,87.32,15.67,87.32
2018-01-01T01:08:19Z,19.52,87.32,15.67,87.33
2018-01-01T01:13:19Z,19.5,87.39,15.67,87.39
2018-01-01T01:18:19Z,19.49,87.52,15.67,87.52
2018-01-01T01:23:19Z,19.48,87.51,15.66,87.51
2018-01-01T01:28:19Z,19.47,87.47,15.66,87.47
2018-01-01T01:33:19Z,19.46,87.55,15.66,87.55
2018-01-01T01:38:19Z,19.44,87.5,15.66,87.5
2018-01-01T01:43:19Z,19.43,87.62,15.66,87.62
2018-01-01T01:48:19Z,19.41,87.62,15.65,87.62
2018-01-01T01:53:19Z,19.39,87.64,15.65,87.64
2018-01-01T01:58:19Z,19.37,87.66,15.65,87.66
2018-01-01T02:03:19Z,19.36,87.61,15.65,87.61
2018-01-01T02:08:19Z,19.35,87.67,15.65,87.67
2018-01-01T02:13:19Z,19.33,87.69,15.64,87.69
2018-01-01T02:18:19Z,19.32,87.74,15.64,87.74
2018-01-01T02:23:19Z,19.31,87.69,15.64,87.69
2018-01-01T02:28:19Z,19.29,87.73,15.64,87.73
2018-01-01T02:33:19Z,19.28,87.7,15.64,87.7
2018-01-01T02:38:19Z,19.27,87.7,15.64,87.7
2018-01-01T02:43:19Z,19.25,87.79,15.63,87.79
2018-01-01T02:48:19Z,19.24,87.78,15.63,87.78
2018-01-01T02:53:19Z,19.23,87.75,15.63,87.75
2018-01-01T02:58:19Z,19.22,87.84,15.63,87.84
2018-01-01T03:03:19Z,19.21,87.64,15.63,87.64
2018-01-01T03:08:19Z,19.19,87.45,15.63,87.45
2018-01-01T03:13:19Z,19.17,87.6,15.62,87.6
2018-01-01T03:18:19Z,19.16,87.53,15.62,87.53
2018-01-01T03:23:19Z,19.14,87.58,15.62,87.58
2018-01-01T03:28:19Z,19.13,87.69,15.62,87.69
2018-01-01T03:33:19Z,19.11,87.68,15.62,87.68
2018-01-01T03:38:19Z,19.1,87.52,15.61,87.52
2018-01-01T03:43:19Z,19.09,87.62,15.61,87.62
2018-01-01T03:48:19Z,19.08,87.66,15.61,87.66
2018-01-01T03:53:19Z,19.06,87.48,15.6,87.48
